author	authorLabel
http://www.wikidata.org/entity/Q2479364	Goscelin
http://www.wikidata.org/entity/Q1539541	Gottfried of Admont
http://www.wikidata.org/entity/Q61914	Gotthard of Hildesheim
http://www.wikidata.org/entity/Q676775	Gottschalk of Orbais
http://www.wikidata.org/entity/Q975318	Granius Licinianus
http://www.wikidata.org/entity/Q17166883	Gregorius Magister
http://www.wikidata.org/entity/Q42827	Gregory I
http://www.wikidata.org/entity/Q3776547	Gregory of Catino
http://www.wikidata.org/entity/Q1362875	Gregory of Elvira
http://www.wikidata.org/entity/Q67841	Gregory of Tours
http://www.wikidata.org/entity/Q48749074	Grimlaic
http://www.wikidata.org/entity/Q85512284	Guaiferius of Monte Cassino
http://www.wikidata.org/entity/Q85512295	Gudin of Luxeuil
http://www.wikidata.org/entity/Q284255	Guerric of Igny
http://www.wikidata.org/entity/Q3122230	Gui d'Amiens
http://www.wikidata.org/entity/Q1116934	Guibert of Gembloux
http://www.wikidata.org/entity/Q4289	Guibert of Nogent
http://www.wikidata.org/entity/Q983064	Guido Faba
http://www.wikidata.org/entity/Q1553784	Guigo II
